aachen	ɑː k eː n
knapp	k n a p
knappologi	k n a p ʊ l ʊ ɡ iː
knark	k n a r k
knarka	k n a r k a
knoparmoj	² k n uː p a r m ɔ j
knubbsäl	k n ɵ b s ɛː l
knulla	k n ɵ lː a
knut	k n ʉː t
knuten	² k n ʉː t ɛ n
knuten	¹ k n ʉː t ɛ n
knåda	² k n oː d a
knô	k n œː
knö	k n œː
knöl	k n øː l
knölsvan	k n ø l s v ɑː n
knölsvärta	k n ø l s v ɛ ʈ a
ko	k uː
kobolt	k oː b ɔ l t
kobolt	k uː b ɔ l t
koboltmes	k uː b ɔ l t m eː s
kod	k uː d
kofta	k ɔ f t a
kol	k oː l
kolla	k ɔ l a
kolymasnäppa	k ɔ l yː m a s n ɛ p a
kom	k ɔ m
komma	² k ɔ m a
kommer	k ɔ m ɛ r
kompis	¹ k ɔ m p ɪ s
komplett	k ɔ m p l ɛ t
kon	k uː n
kondition	k ɔ n d ɪ ɧ uː n
konflikt	k ɔ n f l ɪ k t
konspiration	k ɔ n s p ɪ r a ɧ uː n
konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r eː t ɪ k ɛ r
konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r iː
konst	k ɔ nː s t
konstbefrukta	² k ɔ n s t b ɛ f r ɵ k t a
konstbevattna	² k ɔ n s t b ɛ v a t n a
konstbevattning	² k ɔ n s t b ɛ v a t n ɪ ŋ
konstfiber	² k ɔ n s t f iː b ɛ r
konstgjord	² k ɔ n s t j uː r d
konstgjord	² k ɔ n s t j ʊ r d
konstläder	² k ɔ n s t l ɛː d ɛ r
konstruktion	k ɔ n s t r ɵ k ɧ uː n
konsumtion	k ɔ n s ɵ m ɧ uː n
kontra	k ɔ n t r a
kontrast	k ʊ n t r a s t
konung	k oː n ɵ ŋ
konungarike	k oː n ɵ ŋ a r iː k ɛ
kopia	k ʊ ² p iː a
koppar	k ɔ p a r
kopparand	k ɔ p a ɾ a n d
koppling	k ɔ p l ɪ ŋ
kopplingskåpa	² k ɔ p l ɪ ŋ s k oː p a
kor	k uː r
korea	k ʊ ² r eː a
korean	k ʊ r eː aː n
korg	k ɔ r j
kornknarr	k uː ɳ k n a ɾ
korp	k ɔ r p
korshänvisning	² k ɔ r s h ɛː n v iː s n ɪ ŋ
kort	k ɔ r t
kort	k ʊ r t
korttålärka	k ɔ r t oː l ɛ r k a
kost	k ɔ s t
kostpris	k ɔ s t p r iː s
koxik	k ʊ k s ɪ k
koyot	k ʊ j oː t
krabba	k r a bː a
krabbis	k r ɑ bː i s
kraftfull	k r a f t f ɵ l
kragtrapp	k ɾ ɑː ɡ t ɾ a p
kran	k r ɑː n
krans	k r a n s
krans	k r ɑː n s
krav	k ɾ ɑː v
kretensisk	k r ɛ t ɛ n s ɪ s k
kretsschema	k r ɛ t s ɧ eː m a
krig	k r iː ɡ
kristianstad	k r ɪ ɧ a n s t a
kristina	k r ɪ ² s t iː n a
krita	² k r iː t a
krog	k r uː ɡ
krokan	k r oː k ɑː n
krokan	k r ɔ k ɑː n
krokan	k r ʊ k ɑː n
krom	k r oː m
krona	k r uː n a
kronor	k r uː n ʊ r
kropp	k r ɔ pː
kruka	k r ʉː k a
krusbär	k r ʉ̟ː s b ɛː r
krusbär	² k r ʉ̟ː s b ɛː r
kröka	k r øː k a
kuba	k ʉː b a
kudde	k ɵ d d ɛ
kuf	k ʉː f
kuk	k ʉː k
kuksugare	² k ʉː k s ʉː ɡ a r ɛ
kul	k ʉː l
kuling	k ʉː l ɪ ŋ
kull	k ɵ l
kulör	k ɵ l øː r
kunde	k ɵ n d ə
kung	k ɵ ŋ
kungsfiskare	k ɵ ŋ s f ɪ s k a r ɛ
kungsfågel	k ɵ ŋ s f oː ɡ ɛ l
kungsfågelsångare	k ɵ ŋ s f oː ɡ ɛ l s ɔ ŋ a r ɛ
kunna	k ɵ nː a
kur	k ʉː r
kurr	k ɵ r
kurs	k ʉː r s
kuse	² k ʉː s ɛ
kusin	k ɵ s iː n
kustlabb	k ɵ s t l a b
kustpipare	k ɵ s t p iː p a ɾ ɛ
kustsnäppa	k ɵ s t s n ɛ p a
kuta	k ʉː t a
kuttrasju	k ɵ t r a ɧ ʉː
kuvert	k ɵ v ɛː r
kvalitet	k v a l ɪ t eː
kvar	k v ɑː r
kvarter	k v a r t eː r
kvasar	k v a s ɑː r
kvicksilver	k v ɪ k s ɪ l v ɛ r
kvinna	k v ɪ nː a
kvinnan	k v ɪ nː a n
kvinnor	k v ɪ nː ʊ r
kvist	k v ɪ s t
kvitta	k v ɪ tː a
kvälja	k v ɛ l j a
kväll	k v ɛ lː
kvänska	² k v ɛː n s k a
kväve	k v ɛː v ɛ
kyckling	ɕ ʏ k l ɪ ŋ
kyrka	² ɕ ø r k a
kyrka	² ɕ ʏ r k a
kysk	ɕ ʏ s k
kyskhet	ɕ ʏ s k h eː t
kyss	ɕ ʏ s
kyssa	ɕ ʏ s a
käck	ɕ ɛ kː
käftis	ɕ ɛ f t ɪ sː
käk	ɕ ɛː k
käka	ɕ ɛ k a
käke	² ɕ ɛː k ɛ
källa	ɕ ɛ l a
källare	ɕ ɛ l a r ɛ
källing	² ɕ ɛ l ɪ ŋ
känd	ɕ ɛ n d
känga	ɕ ɛ ŋ a
känna	ɕ ɛ n n a
kännspak	t ɕ ɛ n s p ɑː k
kännspak	² ɕ ɛ n s p ɑː k
känsla	ɕ ɛ n s l a
känt	ɕ ɛ n t
käpp	ɕ ɛ p
kär	ɕ ɛː r
kära	ɕ ɛː r a
kärl	ɕ ɛː r l
kärlek	ɕ ɛː r l eː k
kärrhök	ɕ ɛ r h øː k
kärrsnäppa	ɕ ɛ r s n ɛ p a
kärrsångare	ɕ ɛ r s ɔ ŋ a r ɛ
kärrtärna	ɕ ɛ r t ɜ r n a
kål	k oː l
kålrabbi	² k oː l r a b ɪ
kår	k oː r
kåt	k oː t
kö	k øː
köa	² k øː a
kök	ɕ øː k
kökkenmödding	² k œ k ɛ n m œ d ɪ ŋ
köl	ɕ øː l
kölna	² ɕ øː l n a
kön	k øː n
kön	ɕ øː n
köp	ɕ øː p
köpa	ɕ øː p a
köpenhamn	ɕ øː p ɛ n h a m n
kör	k œː r
kör	ɕ œː r
köra	k œ̞ː r a
köra	ɕ œ̞ː r a
körandas	² k øː r a n d a s
körandning	² k øː r a n d n ɪ ŋ
kött	ɕ œ tː
köttbulle	ɕ ø t b ɵ l ɛ
köttslig	ɕ œ t s l ɪ ɡː
la	l a
la	l ɑː
laboratorium	l a b ʊ r a t uː r ɪ ɵ m
lade	l ɑː d ɛ
ladugård	l a ɡ ɔ r d
ladugård	l ɑː ɡ ɔ r d
ladugård	² l ɑː d ɵ ɡ oː r d
lager	l ɑː ɡ ɛ r
lagom	l ɑː ɡ ɔ m
lagt	l a k t
lagts	l a k t s
lagård	¹ l a ɡ ɔ ɖ
lagård	¹ l ɑː ɡ ɔ ɖ
laja	² l a j a
lajbans	l a j b a n s
lakan	ˇl ɑː k a n
lakrits	¹ l a k r ɪ s
lakrits	¹ l ɑː k r ɪ s
lamm	l a mː
lammgam	l a m ɡ ɑː m
lammkött	l a mː ɕ œ tː
landkrabba	l a n d k r a bː a
landskapsdjur	² l a n d s k ɑː p s j ʉː r
landskronit	l a n d s k r ʊ n iː t
lantbrevbärare	² l a n t b r eː v b ɛː r a r ɛ
lanterna	l a n t æː ɳ a
lappmes	l a p m eː s
lappuggla	l a p ɵ ɡ l a
larv	l a r v
lasagne	l a s a n j
lastförskjutningsnät	² l a s t f øː r ɧ ʉ̟ː t n ɪ ŋ s n ɛː t
lattja	² l a t ɕ a
lattjo	l a t ɕ ʊ
lavoar	l a v w a ʁ
lavskrika	² l ɑː v s k r iː k a
layout	l ɛ j a ʊ t
le	l eː
leddjur	l eː d j ʉː r
ledig	l eː d ɪ ɡ
ledsen	l ɛ sː ə n
ledsna	² l ɛ s n a
leende	l eː ɛ n d ɛ
legend	l e ɡ e n d
legitim	l ɛ ɡ ɪ t iː m
lego	l eː ɡ u
leidenflaska	l ɛ j d ɛ n f l a s k a
leif	l ɛ j f
lemur	l ɛ m ʉː r
lesbisk	l ɛ s b ɪ s k
less	l ɛ sː
lettiska	l ɛ t ɪ s k a
lev	l eː v
leva	² l eː v a
leverpastej	l eː v ɛ r p a s t ɛ j
lian	l i aː n
lie	l iː ɛ
lik	l iː k
lillejulafton	l ɪ l ɛ j ʉ̟ː l a f t ɔ n
lin	l iː n
lina	² l iː n a
lindgren	l ɪ n d ɡ r eː n
lindgren	l ɪ ŋ ɡ r eː n
lingon	² l ɪ ŋ ɔ n
lingonsylt	² l ɪ ŋ ɔ n s ʏ l t
linnea	l ɪ ² n eː a
linnéa	l ɪ ² n eː a
lisa	² l iː s a
lisas	² l iː s a s
lita	l iː t a
litauiska	l ɪ t a͜ʊ ɪ s k a
liten	² l iː t ɛ n
litium	l iː t s ɪ ɵ m
liv	l iː v
livskvalitet	l iː v s k v a l i t eː t
ljud	j ʉː d
ljuga	² j ʉː ɡ a
ljungby	² j ɵ ŋ b ʏ
ljungpipare	j ɵ ŋ p iː p a ɾ ɛ
ljus	j ʉː s
ljushyllt	j ʉ sː h ʏ l t
lo	l uː
lob	e l uː b eː
lob	l uː b
lob	l ɔ b
loge	l oː ɧ
loge	² l uː ɡ ɛ
lom	l ʊ m
london	l ɔ n d ɔ n
lopp	l ɔ pː
lounge	² l uː ɵ ŋ ɛ
lounge	¹ l a ʊ n d ʂ
lounges	l uː ɵ ŋ ɛ s
lov	l oː v
lov	l uː v
lucia	l ɵ s iː a
luden	l ʉː d ɛ n
lugn	l ɵ ŋ n
lunch	l ɵ n ɧ
lunchdisco	² l ɵ ɧ d ɪ s k ʊ
lunchrast	² l ɵ n ɧ r a s t
lund	l ɵ n d
lundensisk	l ɵ n d ɛ n s ɪ s k
lundgren	² l ɵ n d ɡ r eː n
lundgren	¹ l ɵ n d ɡ r eː n
lundsångare	l ɵ n d s ɔ ŋ a r ɛ
lussekatt	l ɵ s ɛ k a t
lycka	l ʏ kː a
lycklig	l ʏ kː l ɪ ɡ
lydnad	l yː d n a d
lymfocyt	l ʏ m f ʊ s yː t
lyxhotell	l ʏ kː s h ʊ t ɛ lː
läcka	l ɛ k a
läder	l eː d ə r
läder	l ɛː d ɛ r
läger	l ɛː ɡ ɛ r
lägga	l ɛ ɡ a
län	l ɛː n
länge	l ɛ ŋ ɛ
längs	l ɛ ŋ s
lär	l ɛː r
lära	l æː r a
läs	l ɛː s
läsa	l ɛː s a
läser	l ɛ s ɛ r
läsesal	² l ɛː s ɛ s ɑː l
läsk	l ɛ s k
läska	l ɛ s k a
läsuttal	² l ɛː s ʉ t t ɑː l
lätt	l ɛ t
lätting	² l ɛ t ɪ ŋ
låg	l oː ɡ
långsam	² l ɔ ŋ s a m
långt	l ɔ ŋ t
långtåsnäppa	l ɔ ŋ t oː s n ɛ p a
långvarig	l ɔ ŋ v ɑː r ɪ ɡ
låt	l oː t
låta	l oː t a
lögn	l œ ŋ n
löneslav	l øː n ɛ s l ɑː v
lönndom	² l œ n d ʊ m
löpa	l øː p a
lördag	l øː r d ɑː ɡ
lösen	l øː s ɛ n
lövverk	l øː v v ɛ r k
mack	m a k
macka	² m a k a
mage	² m ɑː ɡ ɛ
magnesium	m a ŋ n eː s ɪ ɵ m
magnoliaskogssångare	m a ɡ n uː l ɪ j a s ɡ ʊ ɡ s ɔ ŋ a ɾ ɛ
magnus	¹ m a ŋ n ɵ s
maj	m a j
majoritet	m a j o r ɪ t eː t
maka	m ɑː k a
make	m ɑː k ɛ
mal	m ɑː l
mall	m a l
mallis	¹ m a l ɪ s
malmö	m a l m øː
malmöit	m a l m ø iː t
malte	² m a l t ɛ
malört	² m ɑː l œ r t
mambo	m a m b ʊ
mambo	² m a m b uː
mamsell	m a m z ɛ l
man	m ɑː n
manen	m ɑː n ə n
manet	m a n eː t
manga	m a ŋ ɡ a
mangan	m a ŋ ɡ ɑː n
mango	m a ŋ ɡ ʊ
manick	m a n ɪ k
mannen	m a nː ɛ n
manöver	m a n øː v ɛ r
margareta	m a r ɡ a ² r eː t a
margarin	m a r ɡ a r iː n
maria	m a ² r iː a
marika	m a ² r iː k a
mark	m a r k
mark	m a r k ɛ r
marknaden	m a rː k n a dː ɛ nː
marknaden	m a rː k n a nː
mars	m a r s
mars	m a ʂ
marsch	m a r ɧ
maskin	m a ɧ iː n
maskros	m a s k r uː s
masktörnskata	m a s k t øː r n s k ɑː t a
massa	m a sː a
massage	m a s ɑː ɧ
mat	m ɑː t
matcha	² m a t ɕ a
matematik	m a t ɛ m a t iː k
matsäck	² m a s ɛ k
matsäck	² m ɑː t s ɛ k
matt	m a t
mattant	² m ɑː t t a n t
mattias	m a t iː a s
meckig	m e kː ɪ ɡ
med	m eː d
med	m ɛː d
medarbetare	m eː d a r b eː t a r ɛ
meddela	m eː d d e l a
meddelande	m eː d e l a n d ə
medelhavstrut	m eː d ɛ l h a v s t r ʉː t
medhjälpare	m eː d j ɛ l p a r e
medicin	m ɛ d ɪ s iː n
megafon	m ɛ ɡ a f oː n
mejsel	m ɛ j s ɛ l
mem	m eː m
men	m eː n
men	m ɛ n
meningslös	m eː n ɪ ŋ s l øː s
meningslösa	m eː n ɪ ŋ s l øː s a
mens	m eː n s
mens	m ɛ nː s
mentalesiska	m ɛ n t a l eː s ɪ s k a
meny	m ɛ n yː
mer	m eː r
merkurius	m ɛ r k ʉː r ɪ ɵ s
messmör	² m eː s s m øː r
messmör	² m ɛ s s m øː r
meter	m eː t ɛ r
metonym	m ɛ t ɔ n yː m
metonym	m ɛ t ʊ n yː m
meänkieli	m eː ɛ n k ɪ ɛ l ɪ
middag	m ɪ d a
middag	m ɪ d ɑː ɡ
midsommar	² m iː d s ɔ m a r
midsommar	² m ɪ d s ɔ m a r
midsommar	² m ɪ s ɔ m a r
mig	m a j
mig	m ɛ j
mikael	m iː k aː e l
miklagård	m iː k l a ɡ oː r d
mil	m iː l
mildra	m ɪ l d r a
miljard	m ɪ l j ɑː ɖ
miljon	m ɪ l j uː n
miljö	m ɪ l j øː
millimeter	m ɪ l ɪ m eː t ɛ r
min	m iː n
mina	m iː n a
mineral	m i n ɛ r aː l
ministerstyre	m ɪ n ɪ s t ɛ r s t yː r ɛ
minnesgod	² m ɪ n ɛ s ɡ uː d
miombomes	m ɪ j ɔ m b ɔ m eː s
missbrukare	² m ɪ s b r ʉ̟ː k a r ɛ
mission	m ɪ ɧ uː n
mitt	m ɪ tː
mittemot	m ɪ tˑ e m uː t
mjölk	m j œ l k
mod	m uː d
modevisning	m uː d ɛ v iː s n ɪ ŋ
mojäng	m ʊ j ɛ ŋ
moll	m ɔ l
moln	m oː l n
moln	m ɔ l n
molybden	m ɔ l ʏ b d eː n
monaco	m ɔ n a k ʊ
mongo	m ɔ ŋ ɡ ʊ
mongolpipare	m ɔ ŋ ɡ ʊ l p iː p a ɾ ɛ
monoteist	m ɔ n ʊ t ɛ ɪ s t
monument	m oː n ɵ m ɛ n t
mor	m uː r
morbror	m ʊ r b r ʊ r
mord	m uː r d
mord	m uː ɖ
morgnar	² m oː r n a r
morgnarna	² m oː ɳ a ɳ a
morgon	² m ɔ r ɡ ɔ n
morkulla	m uː r k ɵ l a
mors	m ɔ r s
morsa	² m ɔ r s a
morsa	² m ʊ r s a
morse	² m ɔ r s e
morsning	m ɔ r s n ɪ ŋ
moscha	m ɔ ɕ a
moscha	m ɔ ɕː a
moskva	m ʊ s k v ɑː
mosnäppa	m uː s n ɛ p a
moster	m ʊ s t ɛ r
mot	m uː t
motgift	m uː t j i f t
motion	m ɔ t ɧ uː n
motion	m ʊ t ɧ uː n
motorcykelhjälm	m uː t ɔ r s ʏ k ɛ l j ɛ l m
motsade	² m uː t s ɑː d ɛ
muck	m ɵ k
mujka	m ʉ j k ɑ
mula	² m ʉː l a
mull	m ɵ l
mumie	m ʉː m ɪ ɛ
mumrik	m ɵ m r ɪ k
mun	m ɵ n
mundiarré	² m ɵ n d ɪ a r eː
mur	m ʉː r
murpelare	² m ʉ̟ː r p eː l a r e
mus	m ʉː s
museer	m ɵ s eː ɛ r
museum	m ɵ s eː ɵ m
musik	m ʉ s iː k
muskedunder	m ɵ s k ɛ d ɵ n d ɛ r
muslim	m ɵ s l iː m
musseron	m ɵ s ɛ r ɔ n
must	m ɵ s t
mycket	m ʏ k ɛ t
mygga	² m ʏ ɡ a
myla	² m yː l a
mynning	m ʏ nː ɪ ŋ
mynt	m ʏ n t
myrsnäppa	m y rː s n ɛ p a
myrspov	m yː r s p uː v
mysa	m yː s a
mysig	m yː s ɪ ɡ
mystisk	m ʏ s t ɪ s k
myt	m yː t
mäkla	² m ɛ kː l a
mäkla	² m ɛː k l a
mäktig	² m ɛ k t ɪ ɡ
män	m ɛ n
människa	m ɛ nː ɪ ɧ a
mänsklig	² m ɛ n s k l ɪ ɡ
märklig	² m æ r k l ɪ ɡ
mästare	m ɛ s t a r ɛ
mäster	m ɛ s t ɛ r
mästerskap	² m ɛ s t e r s k ɑː p
mäta	m ɛː t a
mål	m oː l
måla	m oː l a
månad	m oː n a d
måndag	m ɔ n d a
måndag	m ɔ n d ɑː ɡ
måne	m oː n ɛ
mångata	m oː ŋ ɡ ɑː t a
månsing	² m ɔ n s ɪ ŋ
mårka	² m ɔ r k a
mårtensgås	m ɔ r t ɛ n ɡ oː s
måttbestämd	² m ɔ t b ɛ s t ɛ m d
mög	m øː ɡ
mögel	m øː ɡ ɛ l
mögel	m œ ɡː ɛ l
möjlig	m ø j l i ɡ
mölla	² m œ l a
möp	m øː p
mörk	m øː r k
mötesplats	² m øː t ɛ s p l a t s
nacka	² n a k a
nackskinn	n a k ɧ ɪ n
nafs	n a f s
nagel	n ɑː ɡ ɛ l
namn	n a m n
nasa	² n ɑː s a
nasare	² n ɑː s a r ɛ
nation	n a t ɧ uː n
nationalist	n a t ɧ ʊ n a l ɪ s t
nationell	n a t ɧ ʊ n ɛ l
nato	n ɑː t ʊ
natrium	n ɑː t r ɪ ɵ m
natt	n a tː
natthäger	n a t h ɛ ɡ ɛ r
ned	n eː d
neder	n ɛ d ɛ r
nederländerna	² n e d ɛ r l ɛ n d ɛ ɲ a
nedladdning	² n eː d l a d n ɪ ŋ
nej	n ɛ j
nektarin	n ɛ k t a r iː n
nellie	¹ n ɛ l ɪ
nelly	¹ n ɛ l ʏ
neodym	n eː ʊ d yː m
neon	n ɛ oː n
nepalesisk	n ɛ p a l eː s ɪ s k
neptunium	n ɛ p t ʉː n ɪ ɵ m
neptunus	n ɛ p t ʉː n ɵ s
ner	n eː r
neutral	n eː ɵ t r ɑː l
neutron	n eː ɵ t r oː n
ni	n iː
nicke	² n ɪ k ɛ
niger	n iː ɡ ɛ r
nigeria	n ɪ ɡ eː r ɪ a
nigger	n ɪ ɡː e r
nilgås	n iː l ɡ oː s
nim	n ɪ m
nimma	² n ɪ m a
nio	n iː ɛ
nio	n iː ʊ
nionde	n iː ɔ n d ɛ
nittio	² n ɪ t ɪ
nittio	² n ɪ t ɪ ʊ
nitton	n ɪ t ɔ n
nja	n j a
nja	n j ɑː
njalla	n j a l a
njalla	² n j a l a
njure	² n j ʉː r ɛ
njuta	² n j ʉː t a
nobba	² n ɔ b a
nobben	n ɔ b ɛ n
nobel	n ʊ b ɛ l
noll	n ɔ l
nominativ	n ʊ m ɪ n a t iː v
nord	n uː ɖ
nordbo	² n uː r d b uː
nordkorea	² n uː ɖ k ʊ r eː a
nordsångare	n uː r d s ɔ ŋ a r ɛ
norge	n ɔ r j ɛ
norr	n ɔ rː
norrmalmstorgssyndrom	n ɔ r m a l m s ² t ɔ r j s s ʏ n d r oː m
norska	² n ɔ ʂ k a
not	n uː t
november	n ʊ v ɛ m b ɛ r
nu	n ʉː
nummer	¹ n ɵ m ɛ r
nunatak	n ʉ̟ː n a t a k
nusvenska	² n ʉ̟ː s v ɛ n s k a
ny	n yː
nyckel	n ʏ k ɛ l
nying	² n yː ɪ ŋ
nypon	n yː p ɔ n
nyps	n yː p s
nyps	n ʏ p s
nyss	n ʏ s
nyttig	² n ʏ t ɪ ɡ
nytänkande	² n yː t ɛ ŋ k a n d e
nä	n ɛː
näbbdjur	n ɛ b j ʉː r
nämen	n ɛ m ɛ n
nännas	² n ɛ n a s
näsa	n ɛː s a
nästkusin	n ɛ s t k ɵ s iː n
nästkusin	² n ɛ s t k ɵ s iː n
nätter	n ɛ tː ə r
någon	n oː ɡ ɔ n
någon	n ɔ n
något	n oː ɡ ɔ t
något	n ɔ t
några	n oː ɡ r a
nålginst	n oː l ɡ ɪ n s t
nåt	n oː t
nåt	n ɔ t
nått	n ɔ t
nödrim	n øː d r ɪ m
nödvändig	n øː d v ɛ n d ɪ ɡ
nödvändighet	n øː d v ɛ n d ɪ ɡ h eː t
nörd	n øː r d
nördig	n øː r d ɪ ɡ
nöt	n øː t
nötkråka	n øː t k r oː k a
nött	n œ t
o	oː
o	uː
o	ɔ
o	ʊ
obelisk	o b ɛ l ɪ s k
objekt	ɔ b j ɛ k t
objektiv	ɔ b j ɛ k t iː v
obskyr	ɔ b s k yː r
och	ɔ
och	ɔ kː
ock	ɔ k
offert	ɔ f æ ʈ
offert	ʊ f æ ʈ
officiell	ɔ f i s j ɛ lː
offside	ɔ f s a j d
ogge	² ɔ ɡ ɛ
ogilla	² uː j ɪ l a
ohemul	uː h e mː ʉ l
ohygglig	ʊ h ʏ ɡ l ɪ ɡ
okapabel	² uː k a p ɑː b ɛ l
okej	ɔ k ɛ j
okej	ʊ k ɛ j
oktober	ʊ k t uː b ɛ r
oktober	ʊ k t ʊ b ɛ r
okynnesäta	² uː ɕ ʏ n ɛ s ɛː t a
olaglig	uː l ɑː ɡ l ɪ ɡ
olle	² ʊ l ɛ
ollon	ɔ l ɔ n
olof	uː l ɔ f
olof	uː l ɔ v
olof	² uː l ɔ f
olof	² uː l ɔ v
olycka	uː l ʏ kː a
olycklig	² uː l ʏ k l ɪ ɡ
om	ɔ m
ombudsman	ɔ m b ʉː d s m a n
omfång	ɔ m f ɔ ŋ
omljud	² ɔ m j ʉ̟ː d
omständig	² ɔ m s t ɛ n d ɪ ɡ
omständlig	² ɔ m s t ɛ n d l ɪ ɡ
omöjlig	² uː m ø j l ɪ ɡ
onsdag	ʊ n s d a
onsdag	ʊ n s d ɑː ɡ
orange	ʊ r a n ɕ
orange	ʊ r a ŋ ɧ
ord	uː r d
ordbok	uː r d b uː k
orden	uː r d ɛ n
orden	ɔ r d ɛ n
ordentlig	ʊ ɖ ɛ n t l ɪ ɡ
ordentlig	ʊ ɖ ɛ ŋ k l ɪ ɡ
order	ɔ r d ɛ r
ordning	ɔ r d n ɪ ŋ
orientering	ɔ r j ɛ n ¹ t eː r ɪ ŋ
orientseglare	ɔ ɾ ɪ j ɛ n t s eː ɡ l a ɾ ɛ
orienttalgoxe	o r i j ɛ n t a l j o k s ɜ
orientvadarsvala	ɔ r j ɛ n t v ɑː d a r s v ɑː l a
orka	ɔ r k a
orkan	ʊ r k ɑː n
orm	ʊ r m
orma	ʊ r m a
ormörn	ʊ r m øː r n
ort	ʊ ʈː
osa	² uː s a
oscar	¹ ɔ s k a r
oskar	¹ ɔ s k a r
oslo	ʊ s l ʊ
oss	ɔ s
osäker	uː s ɛː k ɛ r
otagbar	² uː t ɑː ɡ b ɑː r
otålig	² uː t oː l ɪ ɡ
ovan	oː v a n
ovan	uː v ɑː n
ove	² uː v ɛ
overall	ɔ v ɛ r a l
overall	ɔ v ɛ r oː l
